Image_Path,Patient_Text,Severity_Label
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Hand-13.jpg,"""Olux has been the only topical medication I&#039;ve used that has been able to control the psoriasis on my scalp.  Over the past few years, my condition has significantly worsened.  However, since beginning to use Derma-Smoothe and Olux, I have been able to maintain a very healthy scalp.  The Derma-Smoothe is fantastic for removing the initial buildup from psoriasis, while the Olux is a great for preventing its return.  I only have to use Olux about once every 2 weeks, or at the first sign of any symptoms.  Only downside is the high cost (since we have a high insurance deductible).  However, I personally find it to be worth the money.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-penis-16.jpg,"""I have tried it for two days with amazing results!   No more itching! I can finally wear short sleeves again without embarassment!""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Pityriasis-Lichenoides-18.jpg,"""I have been on methotrexate for 2 1/2 years, I cleared up within 2 months and have stayed cleared up! Knowing you can only have so many grams in a certain amount of time makes me sad because soon I will have to stop taking it and switch to something different. I am 39 and have had psoriasis since I was 21. I can wear shorts and a t-shirt and feel normal. Methotrexate has given me my freedom back and I have had no side effects. If you have psoriasis you should give it a try, for me it&#039;s been so worth it.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-200.jpg,"""I had psoriasis for years on my feet. I was prescribed tons of stuff but it never worked then my foot doctor prescribed me coal tar. It not only got rid of my redness and itchiness in weeks but it didn&#039;t come back. It&#039;s now been 3 yrs since my last breakout.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-60.jpg,"""I have been on Humira for over 4 months now with minimal results. I now have psoriasis in places I never had it before. So my Doctor just took me off Humira and I am now going to try Enbrel. Sometimes what works for one person does not work for everyone. I sure miss the Methotrexate, it was a great for 3 years, but cannot take it anymore due to it messing up my bone marrow, which is finally starting to go back to normal after 6 months. Good luck everyone.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/08PsoriasisUmbilicus.jpg,"""I&#039;ve been battling severe scalp psoriasis for 6 years, as well as the beginning of psoriasis in my genital region. Topicals didn&#039;t come close to helping. I was on Otezla for 3 months but the side effects (vomiting, diarrhea, and headaches) were horrible. I tried Humira for 5 months but it didn&#039;t reduce the plaques enough.
After my first stelara injection, there was a dramatic decrease in my scalp psoriasis, and the few patches on my genital region disappeared completely. After the second injection, my scalp is 80% clear with no itching or burning. 

The injection itself is pain free, the needle is maybe half an inch. I haven&#039;t had any side effects either.
Highly recommend, I&#039;m so happy with the results!""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rosea-181.jpg,"""I have just about tried everything to get rid of my Psorisis which I&#039;ve had for 30 years progressively getting worse &amp; have spent thousands of dollars on treatments with no success. After using scytera foam twice a day for 2 weeks then once a day for 2 weeks it has gone &amp; not returned I was covered from my hair to my toes &amp; everywhere in between. I can&#039;t believe the success I&#039;ve had with this product. Thank you to the person that put it on the market my life is so much better now. I have had no side affects at all""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rubra-pilaris-51.jpg,"""The ONLY thing that has worked for my psoriasis, and my Dermatologist won&#039;t give it to me anymore.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/seborrheic-dermatitis-114.jpg,"""I&#039;ve had moderate plaque psoriasis for 20 years and have done every topical steroid under the sun, which usually worked about 25-50% in the short term but then lost effectiveness.  UV light was about 50% effective but did nothing for my scalp, which is always bad and very itchy.  I resisted Humira for nearly 2 yrs  because of fear of side effects and greater risk of infection.  I have had three shots now and am probably 85% clear.  You can see slightly discolored areas of skin but there are no more plaques.  I noticed some improvement honestly within 3 days of my first double shot.  I haven&#039;t noticed any side effects yet and hope my luck holds and I hope I can continue to afford it, because the cost after 2 months is going up.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-pustular-generalized-17.jpg,"""I have had memory problems for several years. I have been on the same medication for mental issues at least 2 years.  I received my 1st shot of Stelara and it has been 3 weeks ago. I just wondered if this medication has been tested for other uses besides psoriasis? My memory is slowly coming back to me. And I would like to know if this could be due to Stelara? I Love this change in me and I think it&#039;s from the Stelara not to mention my psoriasis is great- in the week all my white scales went away.  Thanks""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/reiter-syndrome-18.jpg,"""I was given stelara for my severe psoriasis and it completely went away.  I was able to concieve a baby, which at that point I decided to stop the injections until after the baby.  While I was pregnant I had maybe a few spots show up.  Now the baby is 6 months and my psoriasis is back, not as bad  but enough to make me want to restart my prescription.   While on it I noticed that I was extra tired the day of and the day after receiving the injection as well its not likely I could afford the 5000$ per needle if I didnt have coverage.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/08SebDermScalp0120.jpg,"""I have had psoriasis for only about five years now, and seeing a dermatologist for four years. We tried everything and then he suggested we try Enbrel. I used it for a total of 7 months with absolutely no results, in fact it spread more. I was desperate to get rid of this as both calves were covered and it was painful. Finally we went to Methotrexate and it worked almost immediately! I take only 4 pills weekly now and it is working like a dream.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rosea-164.jpg,"""I am a physician; I took acitretin as prescribed for plaque psoriasis. After about 3-4 weeks I started to feel very unwell - weak, tired, unable to cope with minor slopes (I have trekked in the Himalayas, Yosemite, Highlands of Scotland, etc). I was not drinking alcohol at all - not for four months before or after. Acitretin was discontinued and the adverse effects reported (yellow card) to the UK regulatory body. The malaise and weakness persisted after stopping the medicine but gradually resolved over a 12 month period. """,Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-176.jpg,"""Had all the other treatments, Neoral, Light, creams etc. Neoral worked but I had been taking it too long so had to come off it. Legs completely covered, arms too, painful, itchy, embarrassing. Dr suggested biologics (Humira) started 2 years ago, cleared it straight away. One thing I&#039;m not sure of is the side effects. I&#039;ve had some strange things happen to me that have gone away when I missed a dose of Humira - anyome else had this ?""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Histology-16.jpg,"""I have pretty bad psoriaisis all over my body since I was 5. I am in my 40&#039;s now. This stuff was amzing. It cleared up all my patches within a week and it took quite a while for them to start coming back after I stopped using it. 
Sadly, now I am out and unfortunately, you need a prescrip for this.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-pustular-generalized-4.jpg,"""I have had psoriasis since I was 4. Been on everything from biologics to light therapy. Stelara cleared me up but not without a price. I m a very healthy,exercise minded individual. Since being on, my blood sugar is off, I have night sweats, swollen breasts, feet, hands, swollen tonsils, and tiredness. My vitamin d levels are also low. Went of stelara for 6 months and every side effect went away. Flared up and went on it again and all symptoms came back!""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Guttate-77.jpg,"""&quot;Started applying two days ago, bingo my psoriasis on my belly started to fade the redness. At first it feels itchy, on the third day it seems great. 
Praying forward for more positive result.

This cream versus my ointment, not bad.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-HIV-2.jpg,"""I have autoimmune disease and at the age of 65 developed sudden onset psoriasis on my body (arms, neck, chest, legs, ankles, scalp). Within one month of methotrexate treatment (.05 cc once a week) the psoriasis was noticeably disappearing. I have been taking a weekly dose for six months now and have had excellent results. I am also taking Folic Acid and have blood testing done about every 45 days. At this point I have had no adverse side affects and am grateful that I have relief from the psoriasis. In addition, the drug has given me moderate relief from hand and foot joint pain.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Chronic-Plaque-92.jpg,"""Not very strong and didn&#039;t really work for me""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rubra-pilaris-19.jpg,"""I had a severe case of psoriasis at the base and outer areas of my hair line with severe itching and the Clobex lotion cleared it up in a week. I used a little on the affected area only.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rosea-2.jpg,"""Easy to use on scalp conditions compared to oils. Can burn a little, but two thorough applications will clear up the problem for 7 to 10 days. Apply once a week before a break out and it keeps the problem under control. I have been using it for 3 months and no side effects yet. I have a full head of hair, my scalp can get really bad and this works. I am a 62 yr. old white male.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rosea-137.jpg,"""I have been on it for a year and never gotten any better after the first week. This is my last refill just hoping for a miracle.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Drug-22.jpg,"""All my muscles and joints got stiff 2 weeks after taking it and I never went back to feeling normal, always stiff and achy.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Nitidus-13.jpg,"""Today October 8th 2015 has made one week since I have been on humira I am so pleased with the results my skin is already starting to clear up I&#039;m so exited to see what it will look like in a month. I have suffered from psoriasis for over 10 years and for the first time I have hope that I will feel normal again. I have rated it a 9 for only one reason (the medicine burns a little) but over all not as bad as I thought it would be being I have to give the shot to myself, I have only noticed a small side effect every now and then I get headaches but nothing I can&#039;t tolerate. Today I have taken my second dose and I feel fine not one symptom yet. I can&#039;t wait to see the future where I can finally go out without hiding under long sleeves and pants""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/seborrheic-dermatitis-134.jpg,"""I got psoriasis when I was about 14 years old, rapidly spreading from my right knee to both my elbows and my scalp which was very disruptive to my confidence as a kid about to start high school, started off with a few oral drugs which barely worked, started enbryll at 17 and it worked for about 1-2 years before I started to notice my psoriasis coming back. I started humira when I was around 18-19 and am still on it now as I am 22 years old and have not had a single side effect from either biologic. It does keep me up at night from time to time thinking I&#039;ll need it for the rest of my life or looking at any nasty side effects but considering I haven&#039;t experienced even any common ones I tell myself to relax and appreciate how normal I feel.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-99.jpg,"""Did not phase my psoriasis in any way. It did manage to take my fingertips off the fingers I was using to apply it. I would have thought it was pretty strong based on that. But did nothing for my patches.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Hypertrophic-1.jpg,"""I used Soriatane for about 9 months and had to stop using it because I lost my insurance, but after those 9 months I went about 2 1/2 years until my psoriasis started coming back.  So if your insurance will cover it I would highly recommend this medicine to anyone.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Drug-3.jpg,"""Works much better then anything I have ever tried for my psoriasis.  The flaking from my scalp is probably reduced by 98%.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-44.jpg,"""I&#039;ve had psoriasis for 15 years and I used the taclonex ointment for a couple of years before going on biologics. Last month I had a flare up while on Stelara and my derm told me taclonex had been reformulated into a suspension and he wanted me to try it and gave me a coupon for $0 copay. Yay! I take the RX to be filled and find out that my insurance will not cover it and the coupon pays up to $300 my portion was $1433. The ointment worked well for me, so I just knew the reformulated version would work wonders. I used the suspension 2x/day for a month. This medication was extremely greasy, ruined my sheets and my clothes and actually made my psoriasis worse. I would NOT recommend this product. Try clobetasol instead.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-32.jpg,"""Stelara was just as effective as the other Biologics (Enbrel, Humira), a bit inconvenient is the Dr. visit for the injection, but it is better controlled in this application.  Great medicine for psoriasis, been on it for 3 years and just recently getting headaches (5 days since injection)...I&#039;ll give another 48 hrs, then I&#039;ll check in with my Dr.  I am still sold on this medication, wonderful break through.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Penis-32.jpg,"""I started Stelara Sept 2014.  By January 2015, psoriasis are worse than they have ever been.  I even have patches on my face!  I&#039;ve suffered with psoriasis for 30 years.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-30.jpg,"""I am 40 and have had psoriasis since kindergarten. I have tried every drug and treatment under the sun. I was hesitant to try Enbrel because of the side effects listed on the commercial. My psoriasis became so bad, after speaking with doctor who assured me side effects were rare I tried it. WOW! I am in week five and the psoriasis on my stomach, which was the most severe, are nearly gone. My rear end is clear. My scalp looks better. I have many, many small ones on my legs and they aren&#039;t as red or as thick. My elbows still have psoriasis but not as thick. The only side effect I can see is that my foot twitches every once in a while and I can&#039;t honestly say it is the medication. I LOVE this. Only con, in the beginning the injection hurt.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Guttate-95.jpg,"""CLOBEX IS AMAZING.  It doesn&#039;t cure psoriasis but it will clear you up.  My scalp is bad.  within a week I was completely clear.  I could go 2 weeks before it started to appear back on scalp.  I use the spray for a few days and it was gone....Problem now is there is a generic so my insurance will not pay for the brand.  The cost of brand out of pocket is 900.00.  Who has that kind of money?  the generic does absolutely nothing for me.  No relief what so ever.  The entire insurance industry is such a crock in the USA.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/seborrheic-dermatitis-136.jpg,"""Six months later and I am no better on the humira. I am 24 and had psoriasis since I was 6 head to foot. Doctors want me to wait another 4 months before they change my meds. That&#039;s the NHS for you! Fed up.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-81.jpg,"""After going through the PUVA, topicals, vitamin E, fish oil, dry skin lotions, both tanning under the sun and even meditation. The answer to my psoriasis has finally arrived after 10 years in the form of Stelara. I&#039;m 47 years old, single, workout at the gym 2x a week and mountain bike every weekend. Two weeks after my first shot in June 2012, I saw improvement on my skin: the scales were flatter and I didn&#039;t itch as much, and my dry skin didn&#039;t seem to be dry as it was. My face and scalp had the most obvious clearing, that my hair stylist asked what shampoo I was using. When I came back for my next injection in July 2012, I was 90 per cent clear! Now I believe I am 100 per cent clear. So far no side effects. Thank you Stelara.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/08sebDermScalp111308.jpg,"""I am 47 year old Australian male, and had my first Stelara 45mg injection 3 weeks ago. I can honestly say Stelara is definitely working for me. Although my lesions are still visible, the &quot;angriness&quot; has subsided and scaling almost gone. Most of my PS patches are starting to look like sun spots or birth marks. I think a holiday in the sun will fix that up!

It is slow progress, so I will be interested to see what happens following my booster injection next week. I just hope the improvement doesn&#039;t stop at where I am currently.

No adverse side effects for me at this stage, but as suggested by my nurse, I am much more proactive when it comes to avoiding infections, such as coughs, colds or flu and we are in our winter season. So far so good.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Guttate-20.jpg,"""I&#039;ve had severe psoriasis which covered me head to toe since I was 5 I&#039;m now 30. Tried every trick in the book from lotions and potions, light therapy &amp; homeopathic remedies. I put off taking methotrexate for fear of becoming a glow in the dark alien with the side effects! Finally gave in last year and so glad I did. It cleared within 3 weeks. I&#039;m now on 15mg a week and only have slight patches of psoriasis dotted about. Had a few bad headaches now and then but nothing extreme. A little wobbly on the blood tests but nothing life threatening just yet. Much better quality of life at the min, and much less hoovering haha.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Oral-20.jpg,"""I would use clobex on my thick plaque psoriasis on my scalp. It literally cleared it up completely within 48 hrs to the point where I can go and get my hair cut. The best med I&#039;ve used in my 30 years of trying everything""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-63.jpg,"""I have had psoriatic plaques foe nearly 17 years. The itch can sometimes be insane and as I&#039;m sure many here would at least imagine, has caused me to take drastic actions to quell it. The only way I have explained it is that the itch is well below the skin and the thick plaques make it impossible to reach. I love getting the injections for two reasons.  First as many have said it quiets outbreaks faster and more efficiently than almost anything I&#039;ve ever uses. Second and I know this may sound weird but having that sharp needle press into itchy skin feels incredible. Then followed by the medicine (kenalog) saturating the itchy area. I get it every four months""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-33.jpg,"""I used it for 3 weeks and then my Dr instructed me to stop using it for a week and by the next week my condition completely flared up again. I know this medication works extremely well at treating the condition and preventing it from additional flare ups.  I have plantar psoriasis on the balls of both feet. It starts out with bumps under the skin and in 2-4 days they become big water filled blisters that are the size of a dime, most of them are the size of a quarter and the largest one I had was bigger than a half dollar. They were 75percent healed when I had to stop using it for a week and on day 5 I felt more bumps under the skin. Sure enough I have 5 more on the ball of the same foot in the same area.  Good grief. It&#039;s very painful.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-infant-5.jpg,"""I have had servere psoriasis for 15 years I am now 34 nothing has work apart from u v but the condition soon came back after treatment since being on stelara I have notice a 90% improvement before starting I was 80% covered I could not hardly walk I had thick scales from my neck right down to my ankles since I have been on stelara all I have is a long thin white patch on the inside of my right leg and and I still have some red on both sides of my stomic,i have never felt so healthy or happy blood test always come back clear and I can at last wear shorts and tops with no sleeves with out worrying about what people think""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-33.jpg,"""Great for itching but not for clearing plaque/ scalp psoriasis""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-nails-32.jpg,"""This was prescribed to me for scalp psoriasis after trying a medical shampoo and another topical lotion with no relief from the itch and flakes. I found within the first few applications it relieved the itch and got rid of about 90% of the plaques on my scalp. I have been using it for almost a month now and its made a worlds difference for me! 
The only reason I&#039;ve not given it a 10/10 is how greasy it is, its hard to apply and much harder to remove from my hair. 
After trying a couple of things I&#039;ve found that the trick is to use baby oil to break down the stickiness and use dish soap to wash it out (I do this step at night before bed) then in the morning I use Loreal&#039;s extraordinary clay hair mask to absorb the remaining baby oil!""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-pustular-generalized-59.jpg,"""Had ankylosing spondylitis and psoriasis badly, within a day I felt lots better and could get out of bed without assistance and within 3 months I had zero psoriasis or back pain, it&#039;s life changing. Had psoriasis for over 10 years and had made me very depressed, this drug is a miracle and has changed my life""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosis-Vulva-28.jpg,"""I used it in the early days of my psoriasis and it worked wonders.  I use it now because I&#039;ve tried so many natural &amp; Rx meds that did worse for me.  It has cleared my plaque psoriasis totally and a trick I learned from my Dr. is put some water on the skin and it will spread more easily and you&#039;ll use less of the cream.  It doesn&#039;t take much to work.  Make sure if your taking supplements that you get off them. Especially vitamin D3.  You will notice deep dark scares from the plaques, but they will eventually fade over time.  I&#039;ll put up with the bruised look rather than the silvery, scales.  Also, you can use a foundation make up (yes I am a guy) to cover them up.  I got that secret from my wife.  Everything is fine and cleared up.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-21.jpg,"""I developed serious psoriasis about 8 years ago (age 12). Nonetheless, this is the only form of treatment that truly works for me. It works as well as how often you use it. I sometimes find myself using it once a week and I&#039;ll have sporadic patches. If I use it consistently, not a spot. Brilliant. 

Although it is expensive, it works so well that you can really make it last if you use it efficiently.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Anus-17.jpg,"""I am a 53 year old male and have had extreme psoriasis since i was 21 years old, Humira has improved my life so much i have been taking this medicine for 3 months with little side affects as far as i can see.
i have been on holiday and for the first time , as long as i can recall, i have not felt ashamed to be by a pool and taking some sun in &quot;GREAT feeling&quot;""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Nitidus-21.jpg,"""Started HUMIRA 8 weeks ago and my Psoriasis is worse than ever. It is causing worsening of itching, my hands and feet are dryer, itchy, painful than ever. I am developing new lesions in areas I never had before. My Dermatologist recommended to take it another 4 weeks but it is unbearable.  I read that some patients develop anti drug antibodies, I suspect I may be one of them.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Histology-21.jpg,"""I have suffered from psoriasis for 20yrs and the condition fluctuated over this time. I have tried creams, methotrexate, light therapy and cyclosporine - none of which helped. Eventually I saw a fantastic dermatologist -  I had to try 3 treatments and if they failed, I could apply for permission to try biologics. I tried Enbrel first -worked until I fell ill with tonsilitis &amp; my psoriasis came back with a vengence. I switched to Stelara, I am about to take my 5th injection, and it has been amazing. Within weeks, I was almost clear. This was the 1st summer I&#039;ve been happy to show my body at the beach! Minimal side effects too.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/reiter-syndrome-1.jpg,"""I am just diagnosed with psoriasis on May 2013 and I am on my 3rd week of methotrexate and so far it cleared the psoriasis on my neck and under my breast. It stops the wetness and flakes and the ones in my arm and tummy are lesser in flakes. I just hope that my dermatologist will allow me to continue the medicine, but it depends on the lab results on my liver.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Guttate-56.jpg,"""Easy to use on scalp conditions compared to oils. Can burn a little, but two thorough applications will clear up the problem for 7 to 10 days. Apply once a week before a break out and it keeps the problem under control. I have been using it for 3 months and no side effects yet. I have a full head of hair, my scalp can get really bad and this works. I am a 62 yr. old white male.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/seborrheic-dermatitis-92.jpg,"""Wonderful medication. Tried numerous meds with no results. After starting this med within two weeks I was almost totally cleared up.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-penis-11.jpg,"""Works best when applied at night before sleep. Good for use on the body. Not for face or other sensitive skin areas. I&#039;ve only been using it for a couple of months but the results are better than any other products that I&#039;ve used in the past.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Nitidus-19.jpg,"""Age 59, F, living N W Eire. No history of psoriasis until it struck 2 yrs ago. Small plaques on scalp, left elbow, then palms of hands, fingers &amp; soles of feet. Itchy, shredding skin, burning as if stung by nettles. Open, painful cracks. Emollients, lotions, prescription creams had no effect. Water &amp; detergents irritated. Touch &amp; walking agony. Latex gloves for shower/chores, cotton gloves at work. Dermatologist found &#039;debilitating stage 2 psoriatic arthritis&#039; prescribed 2.5 Methotrexate x6 once wkly plus Folic Acid and bloods checked wkly. Now 7th week. Plus: using hands &amp;  walking, no irritation. Neg: tired, poor focus, urinary infections, worse in bad weather, still avoiding water/detergents. Conclusion: Highly recommend Methotrexate""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rubra-pilaris-44.jpg,"""I have had psoriasis for 45 years, since I was 10. I have had 3 injections of Humira and I don&#039;t see much clearing. Maybe I need to give it more time? Doctor thinks I&#039;ll be clearer in November,y next appointment. I&#039;m doubtful.""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rosea-123.jpg,"""I have had psoriasis for over 10 years and for the first 5 years it was very mild, but in 2005 it quickly got worse and covered 70% of my body in various spots such as my entire scalp, under my breasts, on my elbows and knees, in my pelvic area and a few other random spots. I was prescribed (5) 25mg pills (1x wk) of methotrexate after trying every cream imaginable and the photo light therapy. The medication made me extremely sick to my stomach. After seeing some improvement my dermatologist recommended I try the tanning bed along with the medication. Within 6 months my psoriasis was completely gone. 4 years after being off the medicines it has come back. It is worse than before and I am taking the medicines and am getting sick a lot. Hope it works again.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-palms-soles-100.jpg,"""I have had horrible psoriasis since the age of 20. Even as a kid I had a flakey scalp that was embarrassing. Stelara for me feels like a miracle. I have been on Enbrel, cyclosporine, and I&#039;ve used all of the steroids. I&#039;ve used the Pagano diet which is very difficult. Stelara is great. When I combined UVB lights at the doctors office with Stelara my skin cleared up 100 percent in about 3 and a half weeks. My scalp even cleared up. This is the only medicine that works that I&#039;ve used. The blood tests to stay on the medication are expensive and sadly many insurance companies won&#039;t pay for this. I hope that changes. I was so sick I could not work and got Stelara through charity for 1 year. It is amazing. """,Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-111.jpg,"""Not very strong and didn&#039;t really work for me""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Chronic-Plaque-197.jpg,"""6 days in to my first shot, seeing no flaking and spots are flat.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-nails-5.jpg,"""I have had Psoriasis for 12 years. While it has not helped the stubborn patches on my scalp and groin, it has been very helpful for my joints. However, I am taking 15mg once a week and after 5 days my hands and feet ache again. I feel very old sometimes. As we know, it&#039;s trial and error. This is worth the risks so that I can shop, play Frisbee, and simply act my age.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-69.jpg,"""Using Stelara has been nothing short or amazing for me. I didn&#039;t have 95% body-coverage like some of the people here but my hands were completely covered and it seemed to be spreading onto my wrists and up my forearms. The pain was excruciating and I was emotionally exhausted from constantly trying to hide what was happening to me. I&#039;m a musician/educator and spend a great deal of time in front of people.  I do feel that Stelara saved my life. I am 100% clear of all signs of psoriasis. No itch, no bleeding, no pain, just normal looking skin. I am also completely alleviated from the mental strain, anxiety, self-consciousness, etc. What an amazing change in my life.""",Mild
